is_correct,q_difficulty,q_date,dollar_value,clue_char_len,seconds_to_answer,category,insert_date
False,5,2022,1000,127,27.85,THAT '70s  OR '80s SHOW,2023-03-01 11:59:03.912126
False,4,1998,1600,78,27.77,"""GO"" FOR IT",2023-03-01 11:59:35.777156
True,3,2018,600,89,8.9,VIRUSES,2023-03-01 11:59:50.907050
False,3,2009,1200,127,12.05,WHERE AM I?,2023-03-01 12:22:55.069004
True,5,2014,1000,54,12.45,"& I KNOW ""IT""",2023-03-01 12:23:12.916907
False,4,2011,800,15,15.31,TV TITLE ROLE PLAYING,2023-03-01 12:23:35.536013
False,3,2017,1200,63,34.16,SHAKESPEARE IN THE PARK,2023-03-01 12:24:14.530032
True,1,1984,200,25,22.08,TRIOS,2023-03-01 12:24:41.708182
False,4,2018,800,85,32.48,PLAYING POLITICS,2023-03-01 12:25:25.753845
True,3,2004,600,100,16.49,FRUITS & VEGETABLES,2023-03-01 12:25:48.745887
True,3,2006,1200,87,9.26,ITALIAN,2023-03-01 12:26:04.505873
False,5,2000,1000,100,36.83,TAX TIME,2023-03-01 12:26:49.329786
False,1,1996,400,99,13.56,MYTHOLOGY,2023-03-01 12:27:06.668242
True,5,1993,1000,102,12.59,SPORTS,2023-03-01 12:28:46.981581
True,3,2019,1200,65,13.14,"FROM ""C"" TO SHINING ""C""",2023-03-01 12:29:10.756877
False,4,2018,1600,61,19.57,MOVIE REMAKES,2023-03-01 12:29:40.047683
True,5,1998,1000,66,14.52,MILITARY UNITS,2023-03-01 12:29:58.576397
False,4,2019,1600,57,15.78,21st CENTURY EUROPEAN LEADERS,2023-03-01 12:30:22.595160
True,3,2014,1200,56,33.81,Z FOOD IS READY,2023-03-01 12:31:01.845827
False,4,2011,800,106,25.31,THE FRANKS,2023-03-01 12:36:31.836621
False,1,2018,200,63,8.05,MOUNTAINS,2023-03-01 12:36:44.791358
True,5,2021,1000,123,13.57,3-SYLLABLE VERBS,2023-03-01 12:37:04.320390
True,3,1991,1200,97,19.55,MATHEMATICS,2023-03-01 12:37:28.907948
True,4,2010,1600,82,10.12,HOMOPHONES,2023-03-01 12:37:52.855079
False,5,2010,2000,66,25.84,"MEASURE THIS, TREBEK!",2023-03-01 12:40:58.027744
False,2,2022,800,104,133.17,ON THE MEDITERRANEAN,2023-03-01 12:43:20.488747
False,2,2005,800,61,22.51,ROYALTY,2023-03-01 12:44:20.758221
False,5,2019,1000,36,15.54,I APPOINTED THAT SUPREME COURT JUSTICE,2023-03-01 12:44:40.028405
False,1,1997,400,89,26.59,ENGLISH LIT.,2023-03-01 12:45:10.580256
False,4,1990,800,66,23.6,CALIFORNIA CITIES,2023-03-01 12:45:37.585007
True,5,2017,1000,116,48.76,PRESIDENTIAL HOMES,2023-03-01 12:47:23.497798
True,2,2018,400,39,73.72,MOVIE SEQUEL SUBTITLES,2023-03-01 12:48:56.733545
True,2,2001,400,102,15.68,BROWN,2023-03-01 13:40:13.545295
True,2,2009,400,88,13.84,SU-SU-SUSHI-O,2023-03-01 13:51:10.844359
False,4,2021,800,83,27.99,LEMME PITCH THAT FOR YOU,2023-03-01 14:05:18.845209
False,2,2016,400,81,9.66,GEEK OUT,2023-03-01 14:05:33.838833
False,2,2014,400,70,67.21,6-LETTER BIBLE BOOKS,2023-03-01 14:06:47.374566
True,2,2008,400,70,10.46,THE CONTINENT...,2023-03-01 14:07:04.036968
True,2,1997,800,94,17.11,KNIGHTS,2023-03-01 14:07:26.090897
False,1,2004,400,53,8.99,"THE ""HOT"" SEAT",2023-03-01 14:08:03.728612
True,5,2019,1000,63,5.9,SEND ME A LETTER,2023-03-01 14:08:14.819955
True,2,2018,800,103,4.98,A LIGHT CATEGORY,2023-03-01 14:08:25.640322
True,2,1994,800,96,7.6,BRITISH HISTORY,2023-03-01 14:51:21.873587
True,3,1985,600,95,8.04,MOVIE COMPOSERS,2023-03-01 15:01:10.670787
True,4,2014,800,48,30.43,THEIR FIRST SOLO ALBUM,2023-03-01 15:01:44.331949
False,2,2003,800,91,14.58,DOUBLIN',2023-03-01 15:02:07.008205
False,1,1991,200,71,18.16,EUROPE,2023-03-01 15:02:27.740234
False,4,2015,800,89,16.19,OLD SCHOOL HIP-HOP,2023-03-01 15:02:47.407202
False,5,2007,2000,111,37.93,OTHER BRITISH ISLES,2023-03-01 15:39:10.602989
False,5,2014,1000,90,21.96,BRAND NAMES,2023-03-01 15:39:42.591314
False,2,1999,800,96,26.91,FILM BIOGRAPHIES,2023-03-01 15:40:14.337798
False,4,1990,1600,91,38.65,IMPRISONED AUTHORS,2023-03-01 15:40:58.858980
True,4,2009,1600,79,78.86,4 Es FOR THEE,2023-03-01 15:42:20.679920
True,3,2000,600,54,23.23,IN OTHER WORDS...,2023-03-01 15:42:52.777883
True,3,1992,600,95,16.67,'50s ROCK LYRICS,2023-03-01 15:44:15.817552
False,4,2002,1600,83,20.46,STATES OF THE UNION,2023-03-01 15:44:41.765725
False,4,2014,800,115,24.62,ELEMENTS OF THE FAIRY TALE,2023-03-01 15:45:49.200504
False,4,2018,1600,78,23.94,POLITICAL PHILOSOPHY,2023-03-01 15:46:19.118058
False,1,2017,200,107,17.14,CAKE TALK,2023-03-01 15:46:40.710041
False,2,2007,400,104,21.02,THIS CATEGORY IS FULL OF BEANS,2023-03-01 15:47:16.491795
True,1,2019,200,27,13.84,THE HIGHEST CAPITAL CITY,2023-03-01 15:47:35.398365
False,2,1988,400,72,47.41,ODD JOBS,2023-03-01 15:48:28.711688
False,3,1990,600,82,8.17,BEER,2023-03-01 15:48:42.883203
True,3,2007,1200,51,10.25,NCAA TEAM NAME'S THE SAME,2023-03-01 15:48:58.399480
False,3,2022,1200,101,22.93,PUBLISHED POSTHUMOUSLY,2023-03-01 15:49:26.919283
False,2,1997,400,91,21.49,EASY HISTORY,2023-03-01 15:49:51.587876
True,2,2000,400,74,8.92,SPRING,2023-03-01 15:50:07.989735
False,4,2012,1600,115,25.79,EVERYONE'S AN ART CRITIC,2023-03-01 15:50:36.880634
False,1,2016,200,69,76.84,"""E-T-C""",2023-03-01 15:51:58.280679
True,5,2014,2000,75,39.35,2-WORD SCIENCE TERMS,2023-03-01 15:52:46.593869
True,1,2016,400,47,5.41,"THE ""AMERICAN""S",2023-03-01 15:53:01.449623
False,1,2013,200,111,16.22,TV THROUGH THE YEARS,2023-03-01 15:53:22.082720
True,5,1996,1000,89,20.52,COOKING,2023-03-01 15:53:47.833882
False,5,1987,1000,83,9.62,AFRICA,2023-03-01 15:54:00.677182
True,1,2003,200,56,77.01,"""L.P.""s",2023-03-01 15:55:20.728027
False,5,2013,1000,41,16.14,WHERE IS IT?,2023-03-01 15:55:50.364074
True,1,2009,200,108,66.17,STATES THAT END IN HAMPSHIRE,2023-03-02 11:01:28.592730
False,3,2001,1200,33,7.91,FONTS OF INFORMATION,2023-03-02 11:04:19.604512
False,3,1998,1200,88,10.8,"THAT'S ANCIENT HISTORY, MAN",2023-03-02 11:04:41.908879
False,1,2007,200,75,25.37,GETTING AROUND THE CITY,2023-03-02 11:05:13.084406
False,3,2005,600,107,11.33,SPORTS LEGENDS,2023-03-02 11:05:28.646161
True,3,1999,600,83,25.71,U.S. CITIES,2023-03-02 11:05:58.452934
True,1,2022,400,295,37.94,THE NUREMBERG TRIALS,2023-03-02 11:06:47.862824
False,4,1996,1600,82,43.03,NARRATORS,2023-03-02 11:07:41.355053
False,4,1997,1600,77,97.85,THE SILVER SCREEN,2023-03-02 11:09:25.644826
True,5,2010,1000,79,48.66,WHATEVER,2023-03-02 11:10:20.399884
False,5,2015,1000,98,22.29,LIFESTYLES,2023-03-02 11:10:54.101703
False,4,2013,1600,91,20.4,AMERICAN HISTORY,2023-03-02 11:11:18.771567
False,3,2011,600,31,16.98,THE LAST BATTLE,2023-03-02 11:11:41.754308
False,2,1997,800,90,15.14,IT CAME FROM SEATTLE,2023-03-02 11:12:01.085232
False,2,1989,800,80,12.62,RIVERS,2023-03-02 11:12:19.481064
True,5,2016,1000,74,12.47,"""UCK""Y STUFF",2023-03-02 11:12:37.303519
True,1,1998,400,78,13.25,PINPOINTS ON THE MAP,2023-03-02 11:13:01.735592
True,3,2012,1200,100,12.23,AMERICAN HISTORY,2023-03-02 11:13:44.872494
False,2,2018,400,122,13.22,ROALD DAHL,2023-03-02 11:14:15.353966
False,2,2020,400,68,24.6,LIT-POURRI,2023-03-02 11:14:46.028461
True,4,1993,1600,80,7.0,COLLEGES & UNIVERSITIES,2023-03-02 11:15:01.507341
False,1,1996,200,41,27.21,THE HUMAN BODY,2023-03-02 11:15:50.784351
True,5,2006,2000,91,30.67,TEXAS,2023-03-02 11:16:47.643694
True,5,1998,1000,75,30.42,NEW TESTAMENT QUOTES,2023-03-02 11:17:29.189552
True,3,2001,600,80,18.41,WEAPONS OF WAR,2023-03-02 11:18:17.651238
True,3,2021,600,98,10.74,CORPORATE MASCOTS,2023-03-02 11:18:40.762370
False,5,2012,1000,113,22.78,AMERICAN FOOD,2023-03-02 11:19:09.612813
False,5,1988,1000,91,22.97,AUSTRIA,2023-03-02 11:19:37.455586
False,4,2021,800,74,75.27,FATHERS OF INVENTION,2023-03-02 11:20:56.808867
False,3,2002,1200,16,23.36,THEIR LAST TOP 10 HIT,2023-03-02 11:21:26.154270
True,4,1996,1600,84,13.3,GERMAN CUISINE,2023-03-02 11:21:45.348955
False,4,1999,1600,75,26.78,FACTS & FIGURES,2023-03-02 11:22:27.083195
False,2,2000,400,97,26.11,ZACHARY TAYLOR,2023-03-02 11:23:06.957528
False,4,2014,1600,117,15.06,THE DOONESBURY GROUP,2023-03-02 11:23:25.469033
False,5,1988,1000,80,35.36,PATRON SAINTS,2023-03-02 11:24:05.184947
False,4,2009,800,104,12.76,KIDS DON'T REALIZE,2023-03-02 11:24:25.743977
True,2,2002,800,76,5.65,DOUBLE LETTERS,2023-03-02 11:24:37.659811
True,5,1991,1000,55,48.39,COLLEGE DEGREES,2023-03-02 11:25:30.777865
False,4,1989,1600,41,6.12,BRITISH ROYALTY,2023-03-02 11:25:55.227374
True,2,2013,400,90,9.51,A BIBLICAL ANATOMY LESSON,2023-03-02 11:26:08.558085
False,3,1985,1200,67,11.66,NEIGHBORHOODS,2023-03-02 11:26:36.445934
False,3,2004,1200,111,11.95,YE GODS!,2023-03-02 11:27:08.813684
True,4,2005,1600,86,12.49,SPACE TECHNOLOGY,2023-03-02 11:27:27.327743
False,2,1989,800,98,11.33,REAL ESTATE TERMS,2023-03-02 11:27:49.401226
False,3,2002,1200,104,12.45,EUROPEAN HISTORY,2023-03-02 11:28:07.123708
True,3,2019,1200,83,30.4,RAINFORESTS,2023-03-02 11:28:56.255345
False,3,1999,1200,71,25.97,SUITE,2023-03-02 11:30:15.087552
True,3,2015,1200,86,17.82,INTERRED IN THE PANTHEON IN PARIS,2023-03-02 11:30:37.429047
True,2,1990,400,85,41.42,CIVIL WAR GENERALS,2023-03-02 11:33:32.741481
True,1,2009,200,108,15.27,ARE YOU READY FOR SOME FOOSBALL,2023-03-02 11:34:01.793726
False,4,2021,1600,122,9.99,SUN & MOON,2023-03-02 13:16:43.865196
True,1,1996,200,62,23.52,ANIMALS,2023-03-02 13:17:11.346563
True,3,1997,1200,97,9.74,EXPLORERS,2023-03-02 13:28:29.010969
True,2,2005,400,86,9.83,YOU GET THE POWER...,2023-03-02 13:29:13.527078
False,3,2000,600,98,5.96,PUBLISH,2023-03-02 19:20:46.506938
False,1,2010,400,112,14.36,YOU TUBE,2023-03-02 19:21:02.751793
True,4,1987,800,61,7.02,4-LETTER WORDS,2023-03-02 19:21:12.649150
True,2,1999,800,98,7.95,PLAYING AGAINST TYPE,2023-03-02 19:21:24.078801
True,2,2016,800,259,11.09,MICHIGAN HISTORY,2023-03-03 14:38:58.009300
False,5,1996,2000,83,9.32,GRAINS & STAPLES,2023-03-03 14:39:51.000975
False,5,1990,2000,89,8.72,MONARCHS,2023-03-03 15:03:02.726592
False,5,1990,2000,42,9.32,THE HUMAN BODY,2023-03-03 15:32:10.449669
False,4,2000,1600,62,7.53,JEOPARDY! BOOBY TRAPS,2023-03-03 15:32:22.078789
False,4,2016,800,98,55.81,THE CIVIL WAR,2023-03-03 15:34:09.003870
False,5,2010,2000,54,8.75,DOG BREEDS,2023-03-03 17:33:05.972691
False,3,1988,1200,90,11.36,THE 20th CENTURY,2023-03-03 17:33:20.724999
True,5,2008,1000,105,11.44,OPTICAL ALLUSIONS,2023-03-03 17:33:36.613234
False,2,2016,800,31,10.34,THIS IS MY PEOPLE,2023-03-03 17:33:50.845770
True,4,2015,800,44,6.64,CELEBS ON TWITTER,2023-03-03 17:34:03.443441
True,2,2011,400,77,10.27,ANCIENT NAMES FOR MODERN PLACES,2023-03-03 17:34:30.799498
False,5,1988,2000,98,10.92,GERMAN COMPOSERS,2023-03-03 17:34:47.714507
False,2,2009,400,103,20.22,THE JOHN C. FREMONT EXPERIENCE,2023-03-03 17:35:13.329067
False,5,2011,2000,68,11.7,SCHWARZENEGGER,2023-03-03 17:35:30.478107
True,2,2004,400,78,10.03,SOCIAL TYPES,2023-03-03 18:36:47.172206
False,4,2021,1600,105,20.87,SPEAK LIKE A FRENCH CANADIAN,2023-03-03 18:37:12.329326
True,3,1985,1200,84,11.86,MYTHOLOGY,2023-03-03 18:37:28.732449
False,5,2021,1000,112,12.47,BUSINESS NAMES,2023-03-03 18:37:46.702973
True,1,2014,400,64,8.87,SHE'S A GODDESS!,2023-03-03 18:38:00.828165
False,4,2010,1600,61,16.93,NAME THAT SPEAKER,2023-03-03 18:38:23.647539
False,1,2003,200,109,32.44,MISSED IT BY THAT MUCH...,2023-03-03 18:39:00.698835
False,4,2015,1600,72,66.45,"MYTHOLO""G""",2023-03-03 18:40:18.957597
True,2,2020,800,41,14.8,COLORFUL VERBS,2023-03-03 18:43:00.643770
True,3,2014,1200,79,22.01,I'LL BE YOUR TV WAITRESS,2023-03-03 18:43:26.869534
False,3,2014,1200,109,35.31,WE GET LETTERS,2023-03-03 18:44:10.337072
False,2,2015,800,95,3540.77,"MY KIND OF ""TOWN""",2023-03-03 21:14:15.959876
False,3,1995,1200,68,15.79,SEAFARERS,2023-03-03 21:14:39.368086
False,5,2017,1000,78,13.11,ITALIAN FOOD,2023-03-03 21:14:57.320340
False,2,1997,400,72,14.24,EYE,2023-03-03 21:15:17.703045
True,3,2019,600,81,27.22,21st CENTURY TELEVISION,2023-03-04 08:31:25.427733
False,3,2007,600,67,19.52,FUN STUFF,2023-03-04 08:31:56.723258
True,1,1999,200,84,20.53,HAIR CARE,2023-03-04 08:32:21.676875
False,4,2010,800,61,15.5,BOGEY MEN,2023-03-04 08:32:43.013910
False,4,2015,800,68,37.27,MEASURED WORDS,2023-03-04 08:33:24.221592
False,5,1990,2000,83,16.02,SHAKESPEARE,2023-03-04 08:33:44.440935
False,1,1990,200,54,17.76,AMERICAN LITERATURE,2023-03-04 08:34:07.270752
False,4,2015,800,81,17.11,RECENT NONFICTION,2023-03-04 08:34:30.033340
False,1,2003,400,111,33.58,WHAT DOES SHE SEE IN HIM?,2023-03-04 08:35:07.410531
True,1,1998,400,79,15.0,WITH THE GOOD BOOK,2023-03-04 08:35:26.973551
False,4,2021,1600,103,58.5,ABOVE & BEYOND,2023-03-04 08:36:31.072482
False,5,1985,2000,82,9.35,COLLEGES,2023-03-04 08:36:48.888961
False,1,2012,200,49,55.45,NOW GO WRITE THAT NOVEL ALREADY,2023-03-04 08:37:50.325359
False,3,1995,600,69,26.51,1994,2023-03-04 08:39:00.819859
True,4,1986,1600,91,6.21,NATURE,2023-03-04 11:14:13.300731
True,5,2001,1000,60,15.14,AN ARM & A LEG,2023-03-04 11:14:33.378440
False,4,2021,1600,82,27.51,UNPACK YOUR ADJECTIVES,2023-03-04 11:15:04.946065
False,1,2019,200,18,28.13,STATE MOTTOES,2023-03-04 11:15:38.213608
False,1,1998,400,74,10.48,TURNING 40 IN '98,2023-03-04 11:16:13.720204
False,5,2012,1000,91,12.2,GOVERNORS SPEAK,2023-03-04 11:16:32.050014
False,3,1987,600,76,16.26,SHOW BIZ SHELLEYS,2023-03-04 11:16:56.873448
True,4,2008,800,63,12.72,STATE MOTTOES,2023-03-04 11:17:13.347358
False,2,2018,400,69,28.33,"HOT, COLD OR IN BETWEEN",2023-03-04 11:17:47.703197
True,2,2020,800,72,17.0,ANCIENT GREEK & ROMAN ARCHITECTURE,2023-03-04 11:18:14.105076
True,1,2012,200,87,4.99,IT'S THE LAW!,2023-03-04 11:18:42.887449
False,3,1987,600,108,24.96,TRANSPORTATION,2023-03-04 11:19:12.638146
False,4,1986,1600,73,6.87,ACTORS & ROLES,2023-03-04 11:19:27.153435
False,2,2007,400,114,11.97,YE GODS!,2023-03-04 11:19:41.287213
False,5,2021,1000,120,10.04,VICE,2023-03-04 11:23:32.379772
True,2,2020,800,81,377.62,COINS,2023-03-04 11:30:03.417464
False,3,1986,600,86,90.05,"ENDS WITH ""X""",2023-03-04 11:32:01.229063
False,5,1994,1000,98,54.32,BUSINESS & INDUSTRY,2023-03-04 11:33:02.394479
False,3,2022,600,176,46.36,SNEAKERS WITH JACQUES SLADE,2023-03-04 11:33:54.845794
True,4,2008,800,98,54.35,ROLLING STONE'S 100 GREATEST GUITAR SONGS,2023-03-04 11:34:53.480184
False,2,1988,400,115,26.86,FAT MUSIC,2023-03-04 11:35:29.574533
True,1,2016,200,119,27.27,HEALTH & MEDICINE,2023-03-04 11:36:01.596537
True,3,2022,1200,112,26.28,JAPANESE HISTORY,2023-03-04 11:36:35.161268
False,4,2019,800,88,44.6,PITTSBURGH,2023-03-04 11:37:25.519768
True,5,2002,2000,67,22.42,17th CENTURY SCIENCE,2023-03-04 11:37:58.275732
False,4,2005,800,109,38.15,QUOTES FROM THE BATTLE OF THE SEXES,2023-03-04 11:38:56.614696
False,5,1998,1000,94,38.11,SHIPS,2023-03-04 11:39:40.908685
True,3,2017,1200,19,4.16,LOGO ANIMALS,2023-03-04 11:39:49.174064
True,3,1988,1200,88,7.97,"""G.R.""",2023-03-04 11:40:02.468845
False,4,2014,1600,200,37.52,THE TOPIC IS MICROSCOPIC,2023-03-04 11:40:44.348691
False,3,2009,1200,57,31.13,GRAMMY-WINNING COMEDY ALBUMS,2023-03-04 11:41:23.716739
True,1,2008,400,58,40.3,"""B""EOPLE",2023-03-04 11:42:15.906441
True,4,2010,1600,106,24.95,FROM THE LATIN,2023-03-04 11:42:50.799343
True,2,2016,400,69,13.08,DRUGZ,2023-03-04 11:43:11.874824
False,3,2009,1200,121,23.76,IT HAPPENED IN VIRGINIA,2023-03-04 11:43:43.833954
False,4,1999,1600,88,24.38,MARCH,2023-03-04 11:44:36.810573
True,4,2010,1600,67,18.82,INTERNATIONAL SPORTS TROPHIES,2023-03-04 11:45:04.252761
True,1,2011,200,91,31.35,'80s FADS,2023-03-04 11:45:49.607928
True,1,2012,400,70,7.31,ACTOR/,2023-03-04 11:46:06.887283
False,5,1989,1000,44,11.93,"""TOWER""s",2023-03-04 11:46:22.894633
False,1,2010,200,43,54.41,ON THE 1980s MOVIE SOUNDTRACK,2023-03-04 11:47:22.685940
False,5,2004,2000,117,21.88,FAMOUS MEN,2023-03-04 11:47:48.231421
False,1,1998,200,80,12.51,ENDANGERED SPECIES,2023-03-04 11:48:06.539072
True,1,1994,200,40,72.89,STATE SYMBOLS,2023-03-04 11:49:22.406410
True,1,1998,200,31,55.82,"CROSSWORD CLUES ""B""",2023-03-04 11:50:30.431836
True,3,1997,600,100,14.2,U.S. STATES,2023-03-04 17:34:06.656423
True,2,1998,400,100,48.57,THE SUMMER OLYMPICS,2023-03-04 17:35:11.372120
True,1,2014,400,54,9.38,BENS & JERRYS,2023-03-04 17:35:26.904772
False,5,2010,1000,94,21.85,JONAH'S DRUTHERS,2023-03-04 17:36:06.100042
False,3,1989,600,93,9.48,ACTORS & THEIR ROLES,2023-03-04 17:36:38.771972
False,5,2007,1000,32,9.3,YOU'RE IN THIS COUNTRY IF...,2023-03-04 17:36:51.696247
False,4,1986,800,103,353.11,MEDICINE,2023-03-04 17:42:54.089125
False,5,2012,2000,74,32.8,"YOUR DAY IN ""C""OURT",2023-03-04 17:43:34.729145
False,1,2001,400,81,6.98,TV NOSTALGIA,2023-03-04 17:43:47.334734
True,5,1987,1000,97,7.25,SUDDEN DEATH,2023-03-04 17:43:58.359424
False,3,1997,600,102,22.03,DIRECT FROM THE GLOBE,2023-03-04 17:44:24.750201
False,3,1999,600,21,16.06,AUTHORS' RHYME TIME,2023-03-04 17:44:44.383088
False,3,2005,600,102,11.69,FINANCIAL ABBREVIATIONS,2023-03-04 17:45:01.680899
True,2,2017,400,73,20.66,THE JOY OF SLUGS,2023-03-04 17:45:27.586186
False,4,2001,1600,21,13.42,ROBERT REDFORD ROLES,2023-03-04 17:45:46.212003
False,5,2013,2000,99,26.18,ON THE MARQUIS,2023-03-04 17:46:16.775722
True,1,2008,200,87,59.97,"""B"" YOUR BEST",2023-03-04 17:47:21.920028
False,3,1994,600,98,29.48,BUSINESS & INDUSTRY,2023-03-04 17:47:56.395965
False,4,1993,800,76,6.65,ACTORS & THEIR ROLES,2023-03-04 17:48:07.881757
True,2,2009,800,119,34.03,ORGANIZATIONS,2023-03-04 17:48:45.496437
True,4,1994,800,85,23.53,"WASHINGTON, D.C.",2023-03-04 17:49:19.106519
True,4,2003,800,153,22.89,SNOWBOARDING,2023-03-04 17:49:52.019022
True,3,2008,1200,98,32.39,HEAVY EQUIPMENT,2023-03-04 17:50:32.426456
False,4,2005,1600,65,21.82,7 DEADLY SINS,2023-03-04 17:51:18.646357
True,2,1999,400,90,6.04,BODY LANGUAGE,2023-03-04 17:51:29.254924
False,3,2019,1200,78,55.37,"COMIC ""ON""",2023-03-04 17:52:30.383128
False,4,1991,800,87,18.73,BIRDS,2023-03-04 17:52:57.155578
False,3,2003,600,105,37.08,PASTA GLOSSARY,2023-03-04 17:53:37.953530
False,5,1998,1000,97,6.23,HEIR CONDITIONING,2023-03-04 20:52:53.938385
False,4,2009,1600,79,21.48,IT'S OK TO SAY IT BACKWARDS,2023-03-04 20:53:19.235372
False,2,1985,400,81,10.18,BIOLOGY,2023-03-04 20:53:35.208800
True,3,1987,1200,59,6.38,AFRICAN ANIMALS,2023-03-04 20:53:46.953052
False,5,1985,2000,82,7.23,AUTHORS,2023-03-05 08:41:33.675854
True,1,1995,200,73,9.68,MUSIC,2023-03-05 08:42:45.172395
False,4,2007,800,55,12.25,DIVIDED BY A COMMON LANGUAGE,2023-03-05 08:43:03.510262
